title,genre,description,author,bookformat,isbn,pages,image
The Books of Contemplation: Medieval Jewish Mystical Sources,"Anthropology,Religion,Nonfiction,Academic,Social Science,Sociology","The earliest medieval Jewish mystical writings, or kabbalah, date from the late twelfth and early thirteenth centuries. This is the first book to focus on the most prodigious group active at that time--the 'Circle of Contemplation'.,The 'Circle of Contemplation' generated a mystical theology that differs radically from mainstream kabbalistic theosophy. Two of this group's penetrating speculations on God and the origins of the universe are The Book of Contemplation and The Fountain of Wisdom. A meticulous and systematic study of these writings forms the core of this book.,Verman discovered that the 'Circle of Contemplation' produced a series of distinct treatises, each entitled The Book of Contemplation and attributed to the same fictitious author. These treatises, embodying one of the most intriguing puzzles of medieval literature, are included here.,The author concludes that these writings were a product of thirteenth-century Spain, not France, as claimed by Gershom Scholem. His conclusion engendered a critical evaluation of the premises of Scholem's historiography of early medieval Jewish mysticism.",Mark Verman,Paperback,791407209,282,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527071079l/10011932.jpg
Anthropological Studies of Religion: An Introductory Text,"Biology,Ecology,Nonfiction,Politics","In this important, scholarly and wide-ranging text, Brian Morris provides a lucid outline of the nature of the explanations of religious phenomena offered by such great thinkers as Hegel, Marx, and Weber. In doing so he also unravels the many theoretical strategies in the study of religion that have been developed and explored by later anthropologists. Besides discussing the classical authors and the debates surrounding their work, Morris presents perceptive accounts of more contemporary scholars such as Jung, Malinowski, Levi-Strauss, Geertz, and Godelier. Written from the standpoint of critical sympathy, and free of jargon, this book is an invaluable guide to the writings on religion of all the major figures in anthropology.",Brian   Morris,Paperback,052133991X,382,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349098767l/1001204.jpg
Anarchism And Ecology,"Psychology,Nonfiction,Economics,Science,Philosophy,Self Help,Self Help,Personal Development,Sociology,Writing,Journalism,Politics","This book outlines the history of our slow alienation from locale, and proposes some visionary and yet practical solutions to the global ecological crisis that call for the emergence of an integrated, living, and sustainable relationship with the ecological regions that surround us.",Graham Purchase,Paperback,1551640260,216,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347303609l/1001209.jpg
Happiness: Lessons from a New Science,"Biology,Ecology","There is a paradox at the heart of our lives. We all want more money, but as societies become richer, they do not become happier. This is not speculation: It's the story told by countless pieces of scientific research. We now have sophisticated ways of measuring how happy people are, and all the evidence shows that on average people have grown no happier in the last fifty years, even as average incomes have more than doubled.The central question the great economist Richard Layard asks in ,Happiness, is this: If we really wanted to be happier, what would we do differently? First we'd have to see clearly what conditions generate happiness and then bend all our efforts toward producing them. That is what this book is about-the causes of happiness and the means we have to effect it.,Until recently there was too little evidence to give a good answer to this essential question, but, Layard shows us, thanks to the integrated insights of psychology, sociology, applied economics, and other fields, we can now reach some firm conclusions, conclusions that will surprise you. ,Happiness, is an illuminating road map, grounded in hard research, to a better, happier life for us all.",Richard Layard,Paperback,143037013,320,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309287208l/100120.jpg
Anarchism & Environmental Survival,"History,Couture,Fashion,Nonfiction,Historical,Cultural,France","In this wide-ranging book, Graham Purchase, one of the anarchist movement's leading theoreticians, graphically demonstrates relation of classical libertarian thought to the most pressing issues on the Green agenda: bioregionalism, overpopulation, sustainable agriculture, animal rights, wilderness preservation, technology, social ecology, and eco-defense. ,This book is not, however, a collective of dry, academic essays. Purchase's uncompromising approach and acerbic comments ensure that ""Anarchism & Environmental Survival"" will remain a controversial book on the environment.",Graham Purchase,Paperback,961328983,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1279302196l/1001220.jpg
Dressed to Rule: Royal and Court Costume from Louis XIV to Elizabeth II,History,"Throughout history rulers have used clothes as a form of legitimization and propaganda. While palaces, pictures, and jewels might reflect the choice of a monarchâ€™s predecessors or advisers, clothes reflected the preferences of the monarch himself. Being both personal and visible, the right costume at the right time could transform and define a monarchâ€™s reputation. Many royal leaders have known this, from Louis XIV to Catherine the Great and from Napoleon I to Princess Diana.,This intriguing book explores how rulers have sought to control their image through their appearance. Mansel shows how individual styles of dress throw light on the personalities of particular monarchs, on their court system, and on their ambitions. The book looks also at the economics of the costume industry, at patronage, at the etiquette involved in mourning dress, and at the act of dressing itself. Fascinating glimpses into the lives of European monarchs and contemporary potentates reveal the intimate connection between power and the way it is packaged.",Philip Mansel,Hardcover,300106971,256,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328871490l/1001221.jpg
On The Medieval Theory Of Signs,"Autobiography,Memoir,Nonfiction,World War II,Holocaust,History,War,World War II,Biography,Biography,Autobiography,Biography Memoir,War,Literature,Jewish","In the course of the long debate on the nature and the classification of signs, from Boethius to Ockham, there are at least three lines of thought: the Stoic heritage, that influences Augustine, Abelard, Francis Bacon; the Aristotelian tradition, stemming from the commentaries on ,De Interpretatione;, the discussion of the grammarians, from Priscian to the Modistae. Modern interpreters are frequently misled by the fact that the various authors regularly used the same terms. Such a homogeneous terminology, however, covers profound theoretical differences. The aim of these essays is to show that the medieval theory of signs does not represent a unique body of semiotic notions: there are diverse and frequently alternative semiotic theories. This book thus represents an attempt to encourage further research on the still unrecognized variety of the semiotic approaches offered by the medieval philosophies of language.",Umberto Eco,Hardcover,9027232938,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362957934l/1001231.jpg
After Long Silence,"Psychology,Philosophy,Nonfiction,Science,Classics,Reference,Textbooks,Self Help,Literature,19th Century,History","""To this day, I don't even know what my mother's real name is."",Helen Fremont was raised as a Roman Catholic. It wasn't until she was an adult, practicing law in Boston, that she discovered her parents were Jewish--Holocaust survivors living invented lives. Not even their names were their own. In this powerful memoir, Helen Fremont delves into the secrets that held her family in a bond of silence for more than four decades, recounting with heartbreaking clarity a remarkable tale of survival, as vivid as fiction but with the resonance of truth.,Driven to uncover their roots, Fremont and her sister pieced together an astonishing story: of Siberian Gulags and Italian royalty, of concentration camps and buried lives. ,After Long Silence, is about the devastating price of hiding the truth; about families; about the steps we take, foolish or wise, to protect ourselves and our loved ones. No one who reads this book can be unmoved, or fail to understand the seductive, damaging power of secrets.,What Fremont and her sister discover is an astonishing story: one of Siberian gulags and Italian royalty, of concentration camps and buried lives. AFTER LONG SILENCE is about the devastating price of hiding the truth; about families; about the steps we take, foolish or wise, to protect ourselves and our loved ones. No one who reads this book can be unmoved, or fail to understand the seductive, damaging power of secrets. -->",Helen Fremont,Paperback,385333706,368,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320538977l/1001282.jpg
The Principles of Psychology: Volume 1,"Historical,Historical Fiction,Cultural,Africa,Southern Africa,South Africa,Fiction,Historical,Literature,African Literature,Contemporary,Literature,Literature,21st Century,Eastern Africa,Mauritius","This is the first inexpensive edition of the complete ,Long Course in Principles of Psychology,, one of the great classics of modern Western literature and science and the source of the ripest thoughts of Americaâ€™s most important philosopher. As such, it should not be confused with the many abridgements that omit key sections.,The book presents lucid descriptions of human mental activity, with detailed considerations of the stream of thought, consciousness, time perception, memory, imagination, emotions, reason, abnormal phenomena, and similar topics. In its course it takes into account the work of Berkeley, Binet, Bradley, Darwin, Descartes, Fechner, Galton, Green, Helmholtz, Herbart, Hume, Janet, Kant, Lange, Lotze, Locke, Mill, Royce, Schopenhauer, Spinoza, Wundt, and scores of others. It examines contrasting interpretations of mental phenomena, treating introspective analysis, philosophical interpretations, and experimental research.,It remains unsurpassed today as a brilliantly written survey of William Jamesâ€™ timeless view of psychology.",William  James,Paperback,486203816,720,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389225696l/1001304.jpg
Islands,"Psychology,Philosophy,Nonfiction,Reference,Self Help,Personal Development,Self Help,Parenting,Education,Business,Psychology,Counselling","This novel of epic proportions from South Africa, set between 1650 and 1710, covers the first fifty years of the Dutch colony at the Cape of Good Hope. Beautifully rendered, this is a world and a time never before dealt with in fiction-a period when powerful colonizers took over the lands of Hottentot tribes, exposing aborigines for the first time to Western eyes and Western ways. Through the life stories of seven men-all involved with and defined in one way or another by Pieternella, the beautiful daughter of the first mixed marriage of the new colony-we gain an understanding of the vast historical forces at work.,Teeming with characters, rich with lived experience, gripping in its unexpected turns, Islands is a story of greed, power, war, courage, and international intrigue, at once a meticulously researched portrait of the age, and a great adventure story.","Dan Sleigh,AndrÃ© Brink",Hardcover,015101115X,768,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876739l/1001309.jpg
Character Strengths and Virtues: A Handbook and Classification,"Fiction,Writing,Books About Books,Classics,Humor,Adventure,Novella,Historical,Historical Fiction,Romance,Literature,Audiobook","Character has become a front-and-center topic in contemporary discourse, but this term does not have a fixed meaning. Character may be simply defined by what someone does not do, but a more active and thorough definition is necessary, one that addresses certain vital questions. Is character a singular characteristic of an individual, or is it composed of different aspects? Does character--however we define it--exist in degrees, or is it simply something one happens to have? How can character be developed? Can it be learned? Relatedly, can it be taught, and who might be the most effective teacher? What roles are played by family, schools, the media, religion, and the larger culture? This groundbreaking handbook of character strengths and virtues is the first progress report from a prestigious group of researchers who have undertaken the systematic classification and measurement of widely valued positive traits. They approach good character in terms of separate strengths-authenticity, persistence, kindness, gratitude, hope, humor, and so on-each of which exists in degrees.,Character Strengths and Virtues, classifies twenty-four specific strengths under six broad virtues that consistently emerge across history and culture: wisdom, courage, humanity, justice, temperance, and transcendence. Each strength is thoroughly examined in its own chapter, with special attention to its meaning, explanation, measurement, causes, correlates, consequences, and development across the life span, as well as to strategies for its deliberate cultivation. This book demands the attention of anyone interested in psychology and what it can teach about the good life.","Christopher Peterson,Martin E.P. Seligman",Hardcover,195167015,800,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348620946l/100130.jpg
Parnassus on Wheels,"History,Cultural,Brazil,Nonfiction,Biography,Politics,Autobiography,Memoir,Economics,Culture,Society","Roger Mifflin is part pixie, part sage, part noble savage, and all God's creature. With his traveling book wagon named Parnassus, he moves through the New England countryside of 1915 on an itinerant mission of enlightenment. Mifflin's delight in books and authors is infectious--with his singular philosophy and bright eyes, he comes to represent the heart and soul of the book world. But a certain spirited spinster, disgruntled with her life, may have a hand in changing all that. This roaring good adventure yarn is spiced with fiery roadside brawls, heroic escapes from death, the most groaning boards in the history of Yankee cookery, and a rare love story--not to mention a glimpse at a feminist perspective from the early 1900s.",Christopher  Morley,Paperback,1414270658,152,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465495291l/1001312._SY475_.jpg
The Accidental President of Brazil: A Memoir,"History,Nonfiction,Politics","Fernando Henrique Cardoso received a phone call in the middle of the night asking him to be the new Finance Minister of Brazil. As he put the phone down and stared into the darkness of his hotel room, he feared he'd been handed a political death sentence. The year was 1993, and he would be responsible for an economy that had had seven different currencies in the previous eight years to cope with inflation that had run at 3000 percent a year. Brazil had a habit of chewing up finance ministers with the ferocity of an Amazon piranha. This was just one of the turns in a largely unscripted and sometimes unwanted political career. In exile during the harshest period of the junta that ruled Brazil for twenty years, Cardoso started his political life with a tentative run for the Federal Senate in 1978. Within fifteen years, and despite himself, this former sociologist was running the country.,And what a country! Brazil, it is often said, is on the edge of modernity, striding with one foot in mid-air towards the future, the other still rooted deep in a traditional past. It is a land of sophisticated music and brutal gold-digging, of the next global superpower and the last old-time coffee plantations. It is gloriously ungovernable, irrepressibly attractive, and home to the family, friends and extraordinary life of Fernando Henrique Cardoso. This is his story and his love song to his country.","Fernando Henrique Cardoso,Brian Winter",Paperback,1586483242,291,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437014640l/1001322._SY475_.jpg
The Shining Path: A History of the Millenarian War in Peru,"Economics,Economics,Finance,Business,Nonfiction,Psychology,Currency,Money,History,Finance,Personal Finance,Science,Philosophy","First published in Peru in 1990, ,The Shining Path, was immediately hailed as one of the finest works on the insurgency that plagued that nation for over fifteen years. A richly detailed and absorbing account, it covers the dramatic years between the guerrillas' opening attack in 1980 and President Fernando Belaunde's reluctant decision to send in the military to contain the growing rebellion in late 1982. Covering the strategy, actions, successes, and setbacks of both the government and the rebels, the book shows how the tightly organized insurgency forced itself upon an unwilling society just after the transition from an authoritarian to a democratic regime.,One of Peru's most distinguished journalists, Gustavo Gorriti first covered the Shining Path movement for the leading Peruvian newsweekly, ,Caretas,. Drawing on hundreds of interviews and an impressive array of government and Shining Path documents, he weaves his careful research into a vivid portrait of the now-jailed Shining Path leader Abimael Guzman, Belaunde and his generals, and the unfolding drama of the fiercest war fought on Peruvian soil since the Chilean invasion a century before.",Gustavo Gorriti,Paperback,807846767,318,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348583091l/1001325.jpg
Irrational Exuberance,"Criticism,Literary Criticism,Nonfiction,Criticism,Language,Writing,Literature,History,Biography","As Robert Shillerâ€™s new 2009 preface to his prescient classic on behavioral economics and market volatility asserts, the irrational exuberance of the stock and housing markets â€œhas been ended by an economic crisis of a magnitude not seen since the Great Depression of the 1930s.â€ As we all, ordinary Americans and professional investors alike, crawl from the wreckage of our heedless bubble economy, the shrewd insights and sober warnings, and hard facts that Shiller marshals in this book are more invaluable than ever. ,The original and bestselling 2000 edition of Irrational Exuberance evoked Alan Greenspanâ€™s infamous 1996 use of that phrase to explain the alternately soaring and declining stock market. It predicted the collapse of the tech stock bubble through an analysis of the structural, cultural, and psychological factors behind levels of price growth not reflected in any other sector of the economy. In the second edition (2005), Shiller folded real estate into his analysis of market volatility, marshalling evidence that housing prices were dangerously inflated as well, a bubble that could soon burst, leading to a â€œstring of bankruptciesâ€ and a â€œworldwide recession.â€ That indeed came to pass, with consequences that the 2009 preface to this edition deals with. ,Irrational Exuberance is more than ever a cogent, chilling, and astonishingly far-seeing analytical work that no one with any money in any market anywhere can afford not to readâ€“and heed.",Robert J. Shiller,Paperback,767923634,304,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384376065l/100132.jpg
Jane Austen and the War of Ideas,"Fiction,Cultural,Australia,Eastern Africa,Uganda,Historical,Historical Fiction","It is often said that Jane Austen in the countryside remained isolated from the great events of her time. But as Marilyn Butler points out in ,Jane Austen and the War of Ideas,, Austen was not isolated from reading novels, and novels carried controversy. The sentimental novel of the previous generation, the Jacobin novel of William Godwin, the philosophical comedy of Robert Bage and Maria Edgeworth--all conveyed their own kind of ideological meaning. By recognizing Austen's relationship to the literature of ideas, Butler offers acute readings of each of the novels and an intellectual context in which to see them as a whole.",Marilyn Butler,Paperback,198129688,356,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420787916l/1001337.jpg
The Canal House,,"Photojournalist Nicky Bettencourt thinks he's seen everything until he teams up with the legendary war correspondent Daniel McFarland. To Daniel, the story is everything; people come later. But after a plane crash nearly takes his life, Daniel begins to see the world in a different way. He falls in love with Julia Cadell, an idealistic British doctor, and together they find refuge at an old canal house in the center of London. Soon after, Nicky, Daniel, and Julia are called to East Timor, where the government has fled and the entire country is a war zone, and Daniel must decide whether to get the story of a lifetime or to see beyond the headlines to the people whose lives are in the balance. ,Fast-paced and gorgeously written, The Canal House is a gripping novel of love, faith, and friendship set in the dangerous world of international wartime journalism. ",Mark Lee,Paperback,156029545,368,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874804l/1001341.jpg
History of Cartography: Enlarged Second Edition,"Economics,Finance,Economics,History,Finance,Personal Finance,Nonfiction,Currency,Money,Business,Menage,M M M","This illustrated work is intended to acquaint readers with the early maps produced in both Europe and the rest of the world, and to tell us something of their development, their makers and printers, their varieties and characteristics. The authors' chief concern is with the appearance of maps: they exclude any examination of their content, or of scientific methods of mapmaking. This book ends in the second half of the eighteenth century, when craftsmanship was superseded by specialized science and the machine. As a history of the evolution of the early map, it is a stunning work of art and science.,This expanded second edition of Bagrow and Skelton's ,History of Cartography, marks the reappearance of this seminal work after a hiatus of nearly a half century. As a reprint project undertaken many years after the book last appeared, finding suitable materials to work from proved to be no easy task. Because of the wealth of monochrome and color plates, the book could only be properly reproduced using the original materials. Ultimately the authors were able to obtain materials from the original printer Scotchprints or contact films made directly from original plates, thus allowing the work to preserve the beauty and clarity of the illustrations.,Old maps, collated with other materials, help us to elucidate the course of human history. It was not until the eighteenth century, however, that maps were gradually stripped of their artistic decoration and transformed into plain, specialist sources of information based upon measurement. Maps are objects of historical, artistic, and cultural significance, and thus collecting them seems to need no justification, simply enjoyment.","Leo Bagrow,Raleigh Ashlin Skelton",Hardcover,913750336,312,
Toward Rational Exuberance: The Evolution of the Modern Stock Market,"Nonfiction,Nature,Outdoors,Christian,Environment,Nature,Biography","The stock market is big news today. Over 50 percent of the American public own stocks directly or indirectly, meaning that the financial well-being of tens of millions of people is directly tied to the market. Alan Greenspan has stated that it is not possible to understand the modern economy without understanding the stock market. But this has not always been so. ,Many people now alive can remember a very different time, when the stock market was little more than a primitive insiders' game, viewed by most Americans with skepticism and suspicion. In ,Toward Rational Exuberance,, B. Mark Smith, a professional stock trader with two decades of practical experience, tells the story of how this stunning transformation occurred. It is a fascinating story, involving colorful personalities, dramatic events, and revolutionary new ideas. In the course of the narrative, Smith traces the evolution of popular theories of stock market behavior, showing how they have greatly influenced the way the investing public views the market. But he also shows how some of these theories are based on faulty interpretations of market history that may lead investors astray. Freshly updated, this is a timely -- and definitive -- account of the market's true history and dangerous myths.",B. Mark Smith,Paperback,374528500,352,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311994684l/100135.jpg
"Wild Men, Wild Alaska: Finding What Lies Beyond the Limits","Erotica,Gay Erotica","In ,Wild Men, Wild Alaska, professional hunting and fishing guide and outfitter Rocky McElveen tells the stories of his own adventures as well as those of some of his well-known clients. The book takes readers directly into the Alaskan bush, and shares the intense challenges of a majestic wilderness that pushes a man to his limits.",Rocky McElveen,Paperback,785289011,224,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380855834l/1001369.jpg
The Milk Farm: An Erotic Novel,"Nonfiction,Sociology,Sexuality,Sex Work,Feminism,Sexuality,Gender,GLBT,Queer",,Luc Milne,Paperback,943595614,160,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378148722l/1001377.jpg
Naked Ambition: Women Who Are Changing Pornography,"History,Cultural,Africa,Northern Africa,Algeria,Cultural,France,Nonfiction,Religion,Islam,Military,Military History,Africa,Northern Africa","When adult entertainment first appeared on the pop culture radar as an underground film phenomenon, women were little more than starlets, whoâ€”for the most partâ€”answered to men. But as pornography evolved in step with technology and consumer demand over the past twenty years, it also reflected the shifting political climate. Greater sexual equality started to appear both in front of and behind the cameras. Not only did female performers take charge for the first time of their careers, but women began running the companies people purchase movies from, opening woman-friendly sex shops and writing thoughtful, analytical commentary on pornography-often from a feminist perspective.,In ,Naked Ambition,, adult entertainment industry insider Carly Milne takes readers behind the scenes and on to the frontlines of today's woman-owned and supported adult entertainment industry that has revolutionized both pornography and the traditional feminist movement that has for years often stood in opposition to it. Personal essays by Jenna Jameson, Theresa Flynt, Violet Blue, Holly Randall, Tristan Taormino, Tera Patrick, Danni Ashe, Nina Hartley, Jane Duvall and Rachel Kramer Bussel, among other top women pornographers and pornography supporters showcase this relatively recent but fast-growing segment of adult entertainment producers and consumers.","Carly Mine,Carly Mine",Paperback,786715901,340,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348423970l/1001379.jpg
